Angle,Run ,Type,Slope,Interecept,stderr,average,percentage,mid time,,Percentages,,,
45,223,Yellow,-0.000103405,0.003173143,1.93E-05,,,30,,,Yellow,Pink,Green
45,223,Pink,6.27E-05,0.003247232,9.32E-06,,,,,45,0.780799656,0.186631214,0.03256913
45,223,Green,-0.000318042,0.016936483,6.03E-06,,,,,90,0.379027766,0.114876402,0.506095832
45,223,TotalEnergies,-0.00035875,0.023356857,2.02E-05,,,,,135,0.309623889,0.108421064,0.581955047
45,224,Yellow,-0.000264658,0.017751372,3.07E-05,,,,,180,0.258002386,0.028155055,0.713842559
45,224,Pink,-2.60E-05,0.008629894,5.65E-05,,,,,,,,
45,224,Green,-0.000282777,0.00371129,4.79E-06,,,,,,,,
45,224,TotalEnergies,-0.000573418,0.030092556,5.82E-05,,,,,,,,
45,225,Yellow,7.83E-05,0.005209974,1.94E-05,,,,,Energies,,,
45,225,Pink,-8.61E-05,0.011186929,1.05E-05,,,,,,Yellow,Pink,Green
45,225,Green,-0.000379972,0.0125422,5.39E-06,,,,,45,0.030096882,0.007193929,0.001255417
45,225,TotalEnergies,-0.000387842,0.028939104,1.69E-05,,,,,90,0.026481062,0.008025927,0.035358769
45,Average,Yellow,-9.90E-05,3.31E-02,2.32E-05,0.030096882,0.780799656,,,135,0.031899184,0.011170144,0.059956262
45,Average,Pink,-1.65E-05,7.69E-03,2.54E-05,0.007193929,0.186631214,,,180,0.026246953,0.002864254,0.072620227
45,Average,Green,-3.27E-04,1.11E-02,5.41E-06,0.001255417,0.03256913,,,,,,
45,Average,TotalEnergies,-4.42E-04,5.18E-02,3.16E-05,0.038546229,1,,,,,,
90,226,Yellow,0.000386715,-0.003394834,2.44E-05,,,,,,,,
90,226,Pink,-2.74E-05,0.00900734,1.08E-05,,,,,,,,
90,226,Green,-0.000815925,0.058555564,1.49E-05,,,,,,,,
90,226,TotalEnergies,-0.000456612,0.06416807,3.24E-05,,,,,,,,
90,227,Yellow,0.000373573,-0.013214241,3.02E-05,,,,,,,,
90,227,Pink,-0.000198711,0.017183692,2.63E-05,,,,,,,,
90,227,Green,-0.000707079,0.055851727,1.78E-05,,,,,,,,
90,227,TotalEnergies,-0.000532216,0.059821178,4.37E-05,,,,,,,,
90,228,Yellow,0.000125083,-0.003463428,2.55E-05,,,,,,,,
90,228,Pink,-7.53E-05,0.006927723,2.39E-05,,,,,,,,
90,228,Green,-0.000801655,0.06140879,1.73E-05,,,,,,,,
90,228,TotalEnergies,-0.000751826,0.064873085,4.17E-05,,,,,,,,
90,Average,Yellow,2.95E-04,1.76E-02,2.67E-05,0.026481062,0.379027766,,,,,,
90,Average,Pink,-1.00E-04,1.10E-02,2.03E-05,0.008025927,0.114876402,,,,,,
90,Average,Green,-7.75E-04,5.86E-02,1.67E-05,0.035358769,0.506095832,,,,,,
