Filename,Trial,value,late start
C0221,test,,0
C0222,baseline,0,0
C0223,propagation,45,0
C0224,propagation,45,0
C0225,propagation,45,0
C0226,propagation,90,1
C0227,propagation,90,0
C0228,propagation,90,0
C0229,propagation,135,0
C0230,propagation,135,0
C0231,propagation,135,1
C0233,propagation,180,0
C0234,propagation,180,0
C0235,propagation,180,0
C0236,angle,15,0
C0237,angle,15,1
C0238,angle,15,0
C0239,angle,30,0
C0241,angle,30,1
C0242,angle,30,0
C0243,angle,40.5,0
C0244,angle,40.5,1
C0245,angle,40.5,1
C0247,angle,60,0
C0249,angle,60,1
C0250,angle,60,0
C0251,angle,90,1
C0252,angle,90,1
C0253,angle,90,0
C0254,angle,135,0
C0255,angle,135,0
C0256,angle,135,0
C0257,angle,150,0
C0258,angle,150,1
C0259,angle,150,1
C0260,angle,180,0
C0261,angle,180,0
C0262,angle,180,0
C0263,mass,50,0
C0264,mass,50,1
C0265,mass,50,0
C0266,mass,100,1
C0267,mass,100,0
C0268,mass,100,1
C0269,mass,150,0
C0270,mass,150,0
C0271,mass,150,1
C0272,mass,200,1
C0273,mass,200,1
C0274,mass,200,0
C0275,mass,200,1
